,0
1988-01-01,5.4236
1988-04-01,5.2925
1988-07-01,6.2812
1988-10-01,6.2284
1989-01-01,7.1173
1989-04-01,7.6425
1989-07-01,7.8586
1989-10-01,8.2996
1990-01-01,9.2179
1990-04-01,9.2697
1990-07-01,10.1029
1990-10-01,10.5264
1991-01-01,10.7092
1991-04-01,11.8466
1991-07-01,11.9033
1991-10-01,12.7159
1992-01-01,13.1726
1992-04-01,13.8973
1992-07-01,14.4136
1992-10-01,14.7549
1993-01-01,15.6458
1993-04-01,16.8261
1993-07-01,18.0994
1993-10-01,19.3287
1994-01-01,20.9461
1994-04-01,21.9338
1994-07-01,23.8789
1994-10-01,25.8455
1995-01-01,27.02
1995-04-01,29.4003
1995-07-01,30.9014
1995-10-01,32.2901
1996-01-01,33.9369
1996-04-01,35.436
1996-07-01,35.8605
1996-10-01,36.4726
1997-01-01,36.9763
1997-04-01,38.4598
1997-07-01,39.6656
1997-10-01,41.6605
1998-01-01,43.0325
1998-04-01,44.3332
1998-07-01,43.9225
1998-10-01,43.3523
1999-01-01,43.3279
1999-04-01,43.2702
1999-07-01,42.0634
1999-10-01,43.0228
2000-01-01,43.9048
2000-04-01,44.7576
2000-07-01,43.0961
2000-10-01,42.3636
2001-01-01,45.4656
2001-04-01,45.2104
2001-07-01,44.9395
2001-10-01,46.9785
2002-01-01,44.6745
2002-04-01,46.4905
2002-07-01,45.7922
2002-10-01,45.9419
2003-01-01,45.0676
2003-04-01,46.9002
2003-07-01,46.1414
2003-10-01,48.7563
2004-01-01,49.0565
2004-04-01,50.6779
2004-07-01,51.0192
2004-10-01,54.2513
2005-01-01,53.5941
2005-04-01,55.6047
2005-07-01,56.1934
2005-10-01,57.1264
2006-01-01,59.0979
2006-04-01,61.837
2006-07-01,64.2525
2006-10-01,65.6226
2007-01-01,69.7162
2007-04-01,73.0626
2007-07-01,73.5692
2007-10-01,76.1822
2008-01-01,80.8968
2008-04-01,84.652
2008-07-01,85.9908
2008-10-01,87.5232
2009-01-01,90.5616
2009-04-01,92.271
2009-07-01,94.043
2009-10-01,95.0502
2010-01-01,97.3503
2010-04-01,99.4695
2010-07-01,99.5663
2010-10-01,103.6139
2011-01-01,103.0663
2011-04-01,107.3144
2011-07-01,110.1396
2011-10-01,111.4031
2012-01-01,114.684
2012-04-01,118.494
2012-07-01,120.1027
2012-10-01,123.6897
2013-01-01,126.8034
2013-04-01,129.9963
2013-07-01,132.5781
2013-10-01,133.377
2014-01-01,138.2872
2014-04-01,139.8235
2014-07-01,143.034
2014-10-01,143.1582
2015-01-01,147.9021
2015-04-01,153.9017
2015-07-01,156.0404
2015-10-01,156.3142
2016-01-01,164.4036
2016-04-01,169.0556
2016-07-01,171.6578
2016-10-01,171.6608
2017-01-01,173.7594
2017-04-01,180.6704
2017-07-01,183.7332
2017-10-01,184.5175
2018-01-01,185.7741
2018-04-01,193.2817
2018-07-01,191.8109
2018-10-01,191.361
2019-01-01,196.8482
2019-04-01,199.8963
2019-07-01,204.3645
2019-10-01,203.8462
2020-01-01,208.2165
2020-04-01,201.8434
2020-07-01,207.044
2020-10-01,207.7256
2021-01-01,212.5331
2021-04-01,218.428
2021-07-01,221.573
2021-10-01,223.1377
2022-01-01,232.2196
2022-04-01,236.6428
2022-07-01,242.4917
